id,category,language,question,expected_answer,keywords
5-EN-va,pests,English,Can you tell me how do i identify and control fall armyworm in maize?,"Fall Armyworm causes ragged holes in leaves and sawdust-like frass in the funnel. Control using Emamectin benzoate, Lambda-cyhalothrin, or neem extract.","fall armyworm, pest, holes, emamectin, lambda, zvipembenene, izinambuzane, how, do, i, identify, and, control, fall, armyworm, in, maize, how, to, deal, with, fall, armyworm, attack, on, crops"
5-SN-va,pests,Shona,Ndikumbirewo ruzivo: Ndinonzwisisa sei uye kudzora Fall Armyworm muchibage?,"Fall Armyworm inosiya maburi pamashizha netsvina mumatsinde. Dzora neEmamectin benzoate, Lambda-cyhalothrin kana neem.","fall armyworm, pest, holes, emamectin, lambda, zvipembenene, izinambuzane, ndinonzwisisa, sei, uye, kudzora, fall, armyworm, muchibage, ndingarwisa, sei, fall, armyworm, muchirimwa"
5-ND-va,pests,Ndebele,Ngicela ulwazi: Ngingayibona kanjani futhi ngiyile i-Fall Armyworm kumbila?,I-Fall Armyworm ibangela izimbobo emacembeni nomquba ezintanyeni. Yila nge-Emamectin benzoate noma neem.,"fall armyworm, pest, holes, emamectin, lambda, zvipembenene, izinambuzane, ngingayibona, kanjani, futhi, ngiyile, i, fall, armyworm, kumbila, ngingayicitha, kanjani, i, fall, armyworm, ezitshalweni"
6-EN-va,diseases,English,Can you tell me what are the symptoms and treatment for maize streak virus?,Maize Streak Virus causes broken yellow narrow streaks along leaf veins. Prevent by planting resistant seed varieties and controlling leafhoppers.,"maize streak virus, disease, yellow streaks, leafhoppers, hutachiona, isifo, what, are, the, symptoms, and, treatment, for, maize, streak, virus, what, causes, yellow, streaks, on, maize, leaves"
6-SN-va,diseases,Shona,Ndikumbirewo ruzivo: Zviratidzo nemishonga yeMaize Streak Virus ndezvipi?,Maize Streak Virus inokonzera mitsetse yeyero pamashizha. Dzivirira nekudyara mbeu dzinodzivirira nekuparadza leafhoppers.,"maize streak virus, disease, yellow streaks, leafhoppers, hutachiona, isifo, zviratidzo, nemishonga, yemaize, streak, virus, ndezvipi, chii, chinokonzera, mitsetse, yeyero, pamashizha, echibage"
6-ND-va,diseases,Ndebele,Ngicela ulwazi: Izimpawu nelapho le-Maize Streak Virus kuyini?,I-Maize Streak Virus ibangela imigqa ephuzi emacembeni. Vimbela ngokutshala izimbewu ezimelana nesifo.,"maize streak virus, disease, yellow streaks, leafhoppers, hutachiona, isifo, izimpawu, nelapho, le, maize, streak, virus, kuyini, yini, eyenza, imigqa, ephuzi, emacembeni, ombila"
7-EN-va,irrigation,English,Can you tell me what are the critical watering stages for maize?,"The most critical water requirement stages for maize are tasseling, flowering, and grain filling.","irrigation, watering, critical, flowering, grain filling, kudiridza, ukunisela, what, are, the, critical, watering, stages, for, maize, when, does, maize, need, watering, the, most"
7-SN-va,irrigation,Shona,Ndikumbirewo ruzivo: Ndzipi nguva dzakakosha dzekudiridza chibage?,"Nguva dzakanyanya kukosha mvura kuchibage ndedze kutumbuka mukuze, maruva, nekuzadza zviyo.","irrigation, watering, critical, flowering, grain filling, kudiridza, ukunisela, ndzipi, nguva, dzakakosha, dzekudiridza, chibage, chibage, chinoda, mvura, zhinji, rini"
7-ND-va,irrigation,Ndebele,Ngicela ulwazi: Yiziphi izikhathi ezibalulekile zokunisela umbila?,Izikhathi ezibaluleke kakhulu zamanzi kumbila yisikhathi sokuqhakaza nokugcwala kwezinhlamvu.,"irrigation, watering, critical, flowering, grain filling, kudiridza, ukunisela, yiziphi, izikhathi, ezibalulekile, zokunisela, umbila, umbila, udinga, amanzi, kakhulu, nini"
8-EN-va,soil,English,Can you tell me what is the optimal soil ph for growing tobacco in zimbabwe?,Tobacco prefers well-drained sandy loam soil with an optimal soil pH of 5.5 to 6.5.,"tobacco, soil ph, 5.5-6.5, sandy loam, fodya, ivhu, igwai, umhlabathi, what, is, the, optimal, soil, ph, for, growing, tobacco, in, zimbabwe, what, soil, ph, is, required, for, growing, tobacco"
8-SN-va,soil,Shona,Ndikumbirewo ruzivo: Ivhu pH yakanakisa yekurima fodya muZimbabwe ndeyipi?,Fodya inofarira ivhu riri sandy loam rine pH riri pakati pe5.5 ne6.5.,"tobacco, soil ph, 5.5-6.5, sandy loam, fodya, ivhu, igwai, umhlabathi, ivhu, ph, yakanakisa, yekurima, fodya, muzimbabwe, ndeyipi, ph, yeivhu, yakazara, yefodya, ndeyipi"
8-ND-va,soil,Ndebele,Ngicela ulwazi: I-pH yomhlabathi engcono kakhulu yokulima igwai eZimbabwe iyini?,Igwai lithanda umhlabathi we-sandy loam une-pH phakathi kwe-5.5 ne-6.5.,"tobacco, soil ph, 5.5-6.5, sandy loam, fodya, ivhu, igwai, umhlabathi, i, ph, yomhlabathi, engcono, kakhulu, yokulima, igwai, ezimbabwe, iyini, i, ph, yomhlabathi, yegwai, yini"
9-EN-va,crop selection,English,Can you tell me which crops are best suited for natural region iv and v in zimbabwe?,"In Regions IV and V, plant drought-tolerant crops such as Sorghum, Pearl Millet, Groundnuts, Cowpeas, and Cassava.","region iv, region v, drought, sorghum, millet, cassava, mapfunde, mhunga, amabele, which, crops, are, best, suited, for, natural, region, iv, and, v, in, zimbabwe, which, crops, grow, well, in, dry, region, 4, and, 5"
9-SN-va,crop selection,Shona,Ndikumbirewo ruzivo: Zvirimwa zvipi zvakakodzera kuRegion IV neV muZimbabwe?,"MuRegion IV neV dyara zvirimwa zvinozvishingisa sekuti Mapfunde, Mhunga, Nzungu, Nyemba, neMumbishi.","region iv, region v, drought, sorghum, millet, cassava, mapfunde, mhunga, amabele, zvirimwa, zvipi, zvakakodzera, kuregion, iv, nev, muzimbabwe, zvirimwa, zvipi, zvinokura, mukusanaya, muregion, 4, ne, 5"
9-ND-va,crop selection,Ndebele,Ngicela ulwazi: Yiziphi izitshalo ezifanele i-Region IV ne-V eZimbabwe?,"Ku-Region IV ne-V tshala izitshalo ezibekezelela isomiso ezifana ne-Amabele, Inyawuthi, Amantongomane le-Cassava.","region iv, region v, drought, sorghum, millet, cassava, mapfunde, mhunga, amabele, yiziphi, izitshalo, ezifanele, i, region, iv, ne, v, ezimbabwe, yiziphi, izitshalo, ezikhula, emhlabathini, owomileyo, wa, region, 4, ne, 5"
10-EN-va,weather,English,Can you tell me how does an el niño weather event impact farming in zimbabwe?,"El Niño typically causes below-average rainfall and prolonged dry spells. Farmers should plant early-maturing, drought-tolerant crop varieties and practice mulching.","el nino, drought, rainfall, climate, kusanaya, mvura, isomiso, imvula, how, does, an, el, niño, weather, event, impact, farming, in, zimbabwe, what, effect, does, el, nino, have, on, farmer, yields"
10-SN-va,weather,Shona,Ndikumbirewo ruzivo: El Niño inokanganisa sei kurima muZimbabwe?,El Niño inokonzera kusanaya kwemvura. Varimi vanofanira kudyara mbeu dzinokurumidza kuibva nekusungirira mupfudze.,"el nino, drought, rainfall, climate, kusanaya, mvura, isomiso, imvula, el, niño, inokanganisa, sei, kurima, muzimbabwe, el, nino, inokanganisa, sei, varimi"
10-ND-va,weather,Ndebele,Ngicela ulwazi: I-El Niño iyithinta kanjani ezolimo eZimbabwe?,I-El Niño ibangela ukuswelakala kwemvula. Abalimi kufanele batshale izimbewu ezivutha ngokushesha.,"el nino, drought, rainfall, climate, kusanaya, mvura, isomiso, imvula, i, el, niño, iyithinta, kanjani, ezolimo, ezimbabwe, i, el, nino, iyilimaza, kanjani, ezolimo"
11-EN-va,market information,English,Can you tell me where can farmers check official floor prices for maize and wheat?,"Farmers can check official produce prices via the Grain Marketing Board (GMB), Agricultural Marketing Authority (AMA), or the AgricLedger Market Dashboard.","market, price, GMB, AMA, floor price, mitengo, musika, amanani, imakethe, where, can, farmers, check, official, floor, prices, for, maize, and, wheat, where, do, i, find, current, maize, grain, market, prices"
11-SN-va,market information,Shona,Ndikumbirewo ruzivo: Varimi vanogona kutarisa kupi mitengo yehofisi yechibage negorosi?,"Varimi vanogona kutarisa mitengo paGMB, AMA, kana pabhodhi remusika reAgricLedger.","market, price, GMB, AMA, floor price, mitengo, musika, amanani, imakethe, varimi, vanogona, kutarisa, kupi, mitengo, yehofisi, yechibage, negorosi, ndinowana, kupi, mitengo, yechibage, pamusika"
11-ND-va,market information,Ndebele,Ngicela ulwazi: Abalimi bangayihlola phi intengo esemthethweni yombila ne-ukolweni?,"Abalimi bangahlola amanani ku-GMB, AMA, noma ku-AgricLedger Market Dashboard.","market, price, GMB, AMA, floor price, mitengo, musika, amanani, imakethe, abalimi, bangayihlola, phi, intengo, esemthethweni, yombila, ne, ukolweni, ngingawathola, phi, amanani, ombila, emakethe"
12-EN-va,harvesting,English,Can you tell me how do i know when maize is ready for harvesting?,"Maize is ready for harvest when husks turn dry and brown, and grain moisture drops below 14% with a black layer visible at the base of kernels.","harvest, maturity, moisture, black layer, kohwa, kuibva, ukuvuna, ukuvutha, how, do, i, know, when, maize, is, ready, for, harvesting, when, is, the, right, time, to, harvest, my, maize, crop"
12-SN-va,harvesting,Shona,Ndikumbirewo ruzivo: Ndinoziva sei kuti chibage chaya kuibva kukohwa?,Chibage chinenge chaibva kana mashanga aoma aita shava uye zviyo zvaoma zvakakwana.,"harvest, maturity, moisture, black layer, kohwa, kuibva, ukuvuna, ukuvutha, ndinoziva, sei, kuti, chibage, chaya, kuibva, kukohwa, ndinofanira, kukohwa, chibage, changu, rini"
12-ND-va,harvesting,Ndebele,Ngicela ulwazi: Ngingabona kanjani ukuthi umbila usulungele ukuvunwa?,Umbila usulungele ukuvunwa lapho amagobolondo esomile eyinsundu nezinye izimpawu zomhlaba.,"harvest, maturity, moisture, black layer, kohwa, kuibva, ukuvuna, ukuvutha, ngingabona, kanjani, ukuthi, umbila, usulungele, ukuvunwa, ngivuna, nini, umbila, wami"
13-EN-va,harvesting,English,Can you tell me what is the recommended storage moisture content for grain to prevent post-harvest losses?,Grain should be dried to a moisture content of 12.5% to 13% before hermetic or granary storage to prevent weevils and aflatoxin mold.,"storage, moisture, grain, drying, 12.5%, weevils, kuchengeta, ukugcina, what, is, the, recommended, storage, moisture, content, for, grain, to, prevent, post, harvest, losses, how, dry, should, harvested, grain, be, before, storage"
13-SN-va,harvesting,Shona,Ndikumbirewo ruzivo: Hunyoroso hwezviyo hw gani hunokurudzirwa kuchengetedza zviyo?,Zviyo zvinofanira kuomeswa kusvika pa12.5% - 13% zvisati zvachengetwa mumucheka kana mugura.,"storage, moisture, grain, drying, 12.5%, weevils, kuchengeta, ukugcina, hunyoroso, hwezviyo, hw, gani, hunokurudzirwa, kuchengetedza, zviyo, zviyo, zvinofanira, kuoma, zvakadii, usati, wachengeta"
13-ND-va,harvesting,Ndebele,Ngicela ulwazi: Umswakama ongakanani wokusanhla onconywayo ukusekela ukudla?,Ukolweni kufanele womiswe ufike ku-12.5% kuya ku-13% ngaphambi kokuyigcina.,"storage, moisture, grain, drying, 12.5%, weevils, kuchengeta, ukugcina, umswakama, ongakanani, wokusanhla, onconywayo, ukusekela, ukudla, ukolweni, kufanele, womiswe, kangakanani, ngaphambi, kokugcina"
14-EN-va,soil,English,Can you tell me how do i correct acidic soil with low ph on my farm?,Apply agricultural lime (calcitic or dolomitic lime) based on soil test results at least 2 to 3 months before planting.,"lime, acidic soil, pH, calcitic, dolomitic, ivhu, acid, umhlabathi, how, do, i, correct, acidic, soil, with, low, ph, on, my, farm, how, do, i, fix, acid, soil, with, lime, on, my, farm"
14-SN-va,soil,Shona,Ndikumbirewo ruzivo: Ndinogadzirisa sei ivhu rine acid yakawandisa (low pH)?,Isa lime yeimunda (agricultural lime) kuivhu rako kwemwedzi 2 kusvika 3 usati wadyara.,"lime, acidic soil, pH, calcitic, dolomitic, ivhu, acid, umhlabathi, ndinogadzirisa, sei, ivhu, rine, acid, yakawandisa, low, ph, ndingaisa, sei, lime, kuivhu, rine, acid"
14-ND-va,soil,Ndebele,Ngicela ulwazi: Ngingawulungisa kanjani umhlabathi une-asidi ephezulu (low pH)?,Faka i-agricultural lime emhlabathini wakho amanyanga 2 kuya ku-3 ngaphambi kokutshala.,"lime, acidic soil, pH, calcitic, dolomitic, ivhu, acid, umhlabathi, ngingawulungisa, kanjani, umhlabathi, une, asidi, ephezulu, low, ph, ngingayifaka, kanjani, i, lime, emhlabathini, une, asidi"
15-EN-va,maize production,English,Can you tell me what is the expected average yield of maize under rainfed commercial farming in zimbabwe?,"Under good management in Region II, hybrid maize yields range between 5 and 9 metric tonnes per hectare.","yield, tonnes, hectare, maize, production, goho, hekita, isivuno, what, is, the, expected, average, yield, of, maize, under, rainfed, commercial, farming, in, zimbabwe, how, many, tonnes, of, maize, per, hectare, can, i, get, in, region, ii"
15-SN-va,maize production,Shona,Ndikumbirewo ruzivo: Goho rinotarisirwa pachibage pahekita muZimbabwe nderipi?,"MuRegion II ine urimi hwakanaka, goho rechibage rinobva pamatanho 5 kusvika 9 pamatsinde pahekita.","yield, tonnes, hectare, maize, production, goho, hekita, isivuno, goho, rinotarisirwa, pachibage, pahekita, muzimbabwe, nderipi, goho, rechibage, pahekita, muregion, 2, rinokwana, zvakadii"
15-ND-va,maize production,Ndebele,Ngicela ulwazi: Isivuno esilindelekile sombila nge-hectare eZimbabwe kuyini?,"Ku-Region II ngaphansi kokulima okuhle, isivuno sombila sisuka ku-5 kuya ku-9 ma-tonne nge-hectare.","yield, tonnes, hectare, maize, production, goho, hekita, isivuno, isivuno, esilindelekile, sombila, nge, hectare, ezimbabwe, kuyini, zingaki, izivuno, zombila, nge, hectare, e, region, ii"
